pathway,pathway_direction,pathway_median_d,pathway_n_reactions,pathway_n_significant,pathway_pct_significant,reaction_id,base_id,reaction_name,cohens_d,p_value,significant,gene_association_raw,genes,n_genes,ec_number,dataset
Acylglycerides metabolism,CD8_CD5_hi,1.1540126307404417,21,0,0.0,MAR00001_pos,MAR00001,No name available,1.4145553892418852,0.5556320779987349,False,Abhd12 or Abhd6 or Gpihbp1 or Lpl or Mgll or Sdc1,Abhd12; Abhd6; Gpihbp1; Lpl; Mgll; Sdc1,6,3.1.1.34;3.1.1.23,CD8
Acylglycerides metabolism,CD8_CD5_hi,1.1540126307404417,21,0,0.0,MAR00002_pos,MAR00002,triacylglycerol acylhydrolase,1.5404310589069055,0.5556320779987349,False,Lpl,Lpl,1,3.1.1.34,CD8
Acylglycerides metabolism,CD8_CD5_hi,1.1540126307404417,21,0,0.0,MAR00003_pos,MAR00003,"1,2-diacyl-sn-glycerol acylhydrolase",1.5896945520305703,0.5556320779987349,False,Aadac or Cel or Dagla or Daglb or Lipc or Lipe or Lipf or Lipg or Pnlip or Pnliprp1 or Pnliprp2 or Pnpla2 or Pnpla3,Aadac; Cel; Dagla; Daglb; Lipc; Lipe; Lipf; Lipg; Pnlip; Pnliprp1; Pnliprp2; Pnpla2; Pnpla3,13,3.1.1.3,CD8
Acylglycerides metabolism,CD8_CD5_hi,1.1540126307404417,21,0,0.0,MAR00005_pos,MAR00005,1-acylglycerol acylhydrolase,1.5397622705062566,0.5556320779987349,False,Abhd12 or Abhd6 or Mgll,Abhd12; Abhd6; Mgll,3,3.1.1.23,CD8
Acylglycerides metabolism,CD8_CD5_hi,1.1540126307404417,21,0,0.0,MAR00449_pos,MAR00449,sn-Glycerol-3-phosphate:(acceptor) 2-oxidoreductase,1.7766652395679106,0.5556320779987349,False,Gpd2,Gpd2,1,1.1.5.3,CD8
Acylglycerides metabolism,CD8_CD5_hi,1.1540126307404417,21,0,0.0,MAR00604_pos,MAR00604,"ATP:1,2-diacylglycerol 3-phosphotransferase",4.26845965299026,0.5556320779987349,False,Dgka or Dgkb or Dgkd or Dgke or Dgkg or Dgkh or Dgki or Dgkk or Dgkq or Dgkz,Dgka; Dgkb; Dgkd; Dgke; Dgkg; Dgkh; Dgki; Dgkk; Dgkq; Dgkz,10,2.7.1.107,CD8
Acylglycerides metabolism,CD8_CD5_hi,1.1540126307404417,21,0,0.0,MAR00605_pos,MAR00605,"acyl-CoA:1,2-diacyl-sn-glycerol O-acyltransferase",1.0493891276397025,0.559333126181422,False,Dgat1 or Dgat2 or Mogat1 or Mogat2,Dgat1; Dgat2; Mogat1; Mogat2,4,2.3.1.20;2.3.1.22,CD8
Acylglycerides metabolism,CD8_CD5_hi,1.1540126307404417,21,0,0.0,MAR00665_pos,MAR00665,triacylglycerol acylhydrolase,1.0493891276397025,0.559333126181422,False,Aadac or Cel or Dagla or Daglb or Lipc or Lipe or Lipf or Lipg or Pnlip or Pnliprp1 or Pnliprp2 or Pnpla2 or Pnpla3,Aadac; Cel; Dagla; Daglb; Lipc; Lipe; Lipf; Lipg; Pnlip; Pnliprp1; Pnliprp2; Pnpla2; Pnpla3,13,3.1.1.3,CD8
Acylglycerides metabolism,CD8_CD5_hi,1.1540126307404417,21,0,0.0,MAR00667_pos,MAR00667,"1,2-diacyl-sn-glycerol acylhydrolase",1.0885373001013454,0.5556320779987349,False,Aadac or Cel or Dagla or Daglb or Lipc or Lipe or Lipf or Lipg or Pnlip or Pnliprp1 or Pnliprp2 or Pnpla2 or Pnpla3,Aadac; Cel; Dagla; Daglb; Lipc; Lipe; Lipf; Lipg; Pnlip; Pnliprp1; Pnliprp2; Pnpla2; Pnpla3,13,3.1.1.3,CD8
Acylglycerides metabolism,CD8_CD5_hi,1.1540126307404417,21,0,0.0,MAR00668_pos,MAR00668,"1,2-diacyl-sn-glycerol acylhydrolase",1.1584184528771666,0.5556320779987349,False,Aadac or Cel or Dagla or Daglb or Lipc or Lipe or Lipf or Lipg or Pnlip or Pnliprp1 or Pnliprp2 or Pnpla2 or Pnpla3,Aadac; Cel; Dagla; Daglb; Lipc; Lipe; Lipf; Lipg; Pnlip; Pnliprp1; Pnliprp2; Pnpla2; Pnpla3,13,3.1.1.3,CD8
