reaction_id,pathway,cohens_d,p_value,adjusted_pval,significant,pathway_direction,pathway_median_d,genes,n_genes,reaction_name,ec_number,comparison
0,Acylglycerides metabolism,-0.0701505980780494,0.8870974465974024,0.9738927785698226,False,Late_Selection,-0.0022867674054147,Abhd12; Abhd6; Gpihbp1; Lpl; Mgll; Sdc1,6,No name available,3.1.1.34;3.1.1.23,Early_vs_Late_Selection
1,Acylglycerides metabolism,-0.0508081384257525,0.9179270644250004,0.9860265796799648,False,Late_Selection,-0.0022867674054147,Lpl,1,triacylglycerol acylhydrolase,3.1.1.34,Early_vs_Late_Selection
2,Acylglycerides metabolism,-0.0920825647462097,0.852100791310355,0.9619143555444029,False,Late_Selection,-0.0022867674054147,Aadac; Cel; Dagla; Daglb; Lipc; Lipe; Lipf; Lipg; Pnlip; Pnliprp1; Pnliprp2; Pnpla2; Pnpla3,13,"1,2-diacyl-sn-glycerol acylhydrolase",3.1.1.3,Early_vs_Late_Selection
3,Acylglycerides metabolism,0.1642566135978446,0.7388226504988638,0.9260189338448386,False,Early_Selection,-0.0022867674054147,Abhd12; Abhd6; Mgll,3,1-acylglycerol acylhydrolase,3.1.1.23,Early_vs_Late_Selection
4,Transport reactions,-0.0070741186368277,0.9885852424655368,0.997205509748274,False,Late_Selection,0.1977846159321571,Abhd12; Abhd6; Gpihbp1; Lpl; Mgll; Sdc1,6,No name available,3.1.1.34;3.1.1.23,Early_vs_Late_Selection
5,Transport reactions,-0.0507278631497504,0.918056358554463,0.9860265796799648,False,Late_Selection,0.1977846159321571,Lpl,1,triacylglycerol acylhydrolase,3.1.1.34,Early_vs_Late_Selection
6,Transport reactions,-0.1017528495636569,0.8368209329675714,0.9539593919771134,False,Late_Selection,0.1977846159321571,Lpl,1,"1,2-diacyl-sn-glycerol acylhydrolase",3.1.1.34,Early_vs_Late_Selection
7,Pool reactions,0.1439658437174473,0.7700527232272131,0.9420839822508512,False,Early_Selection,0.0292755745662029,Abhd12; Abhd6; Mgll,3,1-acylglycerol acylhydrolase,3.1.1.23,Early_vs_Late_Selection
8,Pool reactions,0.0292755745662029,0.9528376792523684,0.990836989511431,False,Early_Selection,0.0292755745662029,Lpl,1,No name available,3.1.1.34,Early_vs_Late_Selection
9,Pool reactions,-0.2017918644435928,0.6840443440411803,0.9217845097775206,False,Late_Selection,0.0292755745662029,Lpl,1,No name available,3.1.1.34,Early_vs_Late_Selection
10,Transport reactions,0.3068489028110368,0.5554601183881528,0.9036003881786254,False,Early_Selection,0.1977846159321571,Slc18a1; Slc18a2,2,5-Hydroxy-L-Tryptophan Secretion via Secretory Vesicle (ATP Driven),1.13.11.52,Early_vs_Late_Selection
11,Transport reactions,1.4487439400292306,0.0117971712498952,0.1397653852721659,False,Early_Selection,0.1977846159321571,,0,Acetoacetate Intracellular Transport Unknown Mechanism,2.3.1.16,Early_vs_Late_Selection
12,Transport reactions,-0.6009467800499064,0.2351220117660957,0.6830922734273336,False,Late_Selection,0.1977846159321571,Slc25a20,1,O-Acetylcarnintine Transport into Mitochondria via Diffusion,3.1.3.2,Early_vs_Late_Selection
13,Transport reactions,1.7476845199388464,0.0090721953305505,0.1169598606912931,False,Early_Selection,0.1977846159321571,Slc25a20,1,O-Acetylcarnintine Transport into Mitochondria via Diffusion,3.1.3.2,Early_vs_Late_Selection
14,Transport reactions,-1.1230944107982064,0.0361943130725663,0.3044424245818766,False,Late_Selection,0.1977846159321571,,0,Acetate Mitochondrial Transport via Proton Symport,2.1.1.4,Early_vs_Late_Selection
15,Transport reactions,-2.9885007295841053,6.344306190792804e-05,0.0040082877287304,True,Late_Selection,0.1977846159321571,,0,Acetate Mitochondrial Transport via Proton Symport,2.1.1.4,Early_vs_Late_Selection
