reaction_id,pathway,cohens_d,p_value,adjusted_pval,significant,pathway_direction,pathway_median_d,genes,n_genes,reaction_name,ec_number,comparison
0,Acylglycerides metabolism,-1.8535023151793446,0.0021970644105494984,0.018048770264077658,True,Mature_CD8SP,-1.5136334044659643,Abhd12; Abhd6; Gpihbp1; Lpl; Mgll; Sdc1,6,No name available,3.1.1.34;3.1.1.23,Early_vs_Mature_CD8SP
1,Acylglycerides metabolism,-1.3272999796447524,0.014606494804020424,0.03345673847869479,True,Mature_CD8SP,-1.5136334044659643,Lpl,1,triacylglycerol acylhydrolase,3.1.1.34,Early_vs_Mature_CD8SP
2,Acylglycerides metabolism,-1.1713497058312625,0.026219333784865233,0.05142103778750986,False,Mature_CD8SP,-1.5136334044659643,Aadac; Cel; Dagla; Daglb; Lipc; Lipe; Lipf; Lipg; Pnlip; Pnliprp1; Pnliprp2; Pnpla2; Pnpla3,13,"1,2-diacyl-sn-glycerol acylhydrolase",3.1.1.3,Early_vs_Mature_CD8SP
3,Acylglycerides metabolism,-1.3791946150598426,0.013100290884225707,0.03120774879523346,True,Mature_CD8SP,-1.5136334044659643,Abhd12; Abhd6; Mgll,3,1-acylglycerol acylhydrolase,3.1.1.23,Early_vs_Mature_CD8SP
4,Transport reactions,-1.9026140830247489,0.0019405939348866093,0.016599783698851386,True,Mature_CD8SP,-1.3515216145462632,Abhd12; Abhd6; Gpihbp1; Lpl; Mgll; Sdc1,6,No name available,3.1.1.34;3.1.1.23,Early_vs_Mature_CD8SP
5,Transport reactions,-1.3273773801299087,0.014601620990233072,0.03345575302357419,True,Mature_CD8SP,-1.3515216145462632,Lpl,1,triacylglycerol acylhydrolase,3.1.1.34,Early_vs_Mature_CD8SP
6,Transport reactions,-1.1697338861804685,0.026439093949349523,0.051763148132332085,False,Mature_CD8SP,-1.3515216145462632,Lpl,1,"1,2-diacyl-sn-glycerol acylhydrolase",3.1.1.34,Early_vs_Mature_CD8SP
7,Pool reactions,-1.3825508006245526,0.013154403814187008,0.03130443662626738,True,Mature_CD8SP,-1.3825508006245526,Abhd12; Abhd6; Mgll,3,1-acylglycerol acylhydrolase,3.1.1.23,Early_vs_Mature_CD8SP
8,Pool reactions,-1.274352901567929,0.016855131953283996,0.03656072845758433,True,Mature_CD8SP,-1.3825508006245526,Lpl,1,No name available,3.1.1.34,Early_vs_Mature_CD8SP
9,Pool reactions,-1.3933634472108993,0.010928629225918985,0.029796656326836497,True,Mature_CD8SP,-1.3825508006245526,Lpl,1,No name available,3.1.1.34,Early_vs_Mature_CD8SP
