pathway,median_cohens_d,n_significant_reactions,direction,total_genes,n_total_reactions
Transport reactions,-1.3515216145462632,262,Mature_CD8SP,430,389
Nucleotide metabolism,-1.2127925908630703,132,Mature_CD8SP,508,180
Carnitine shuttle (endoplasmic reticular),-1.6748996442282325,80,Early,124,98
Fatty acid oxidation,-1.0789614372066798,80,Mature_CD8SP,357,159
Keratan sulfate degradation,-1.3344175553057402,75,Mature_CD8SP,211,75
Glycerolipid metabolism,-1.4517009035395987,74,Mature_CD8SP,323,77
Purine metabolism,-1.3092416095988118,74,Mature_CD8SP,508,118
Sphingolipid metabolism,-1.4455665122962231,70,Mature_CD8SP,199,81
Pyrimidine metabolism,-1.3988230024986712,67,Mature_CD8SP,299,92
Glycerophospholipid metabolism,-1.4772709070921588,66,Mature_CD8SP,296,88
Inositol phosphate metabolism,-1.354948857883314,64,Mature_CD8SP,288,67
Fatty acid activation (cytosolic),-1.3681340045074706,64,Mature_CD8SP,514,67
Formation and hydrolysis of cholesterol esters,-0.43059455456809004,63,Mature_CD8SP,346,173
Acyl-CoA hydrolysis,-1.367436147556885,63,Mature_CD8SP,208,65
Carnitine shuttle (cytosolic),-1.126995275279182,57,Early,291,97
Folate metabolism,-1.6026543396007873,56,Mature_CD8SP,85,71
Carnitine shuttle (mitochondrial),-1.3304523631740803,43,Early,156,79
Chondroitin / heparan sulfate biosynthesis,-1.4123305675939875,40,Mature_CD8SP,118,40
Retinol metabolism,-1.4004862332591392,37,Mature_CD8SP,263,45
Blood group biosynthesis,-1.8056536051135217,36,Mature_CD8SP,40,36
Beta oxidation of odd-chain fatty acids (mitochondrial),-1.7642441596632492,36,Mature_CD8SP,108,36
Drug metabolism,-0.961701521715224,34,Mature_CD8SP,411,112
Chondroitin sulfate degradation,-1.3630903664485416,34,Mature_CD8SP,114,34
Fatty acid biosynthesis,-1.5340548537762044,33,Mature_CD8SP,79,49
Cholesterol metabolism,-1.2823154482935335,33,Mature_CD8SP,61,49
Biopterin metabolism,-1.5241189418817,32,Mature_CD8SP,50,34
Glycosphingolipid biosynthesis-lacto and neolacto series,-1.4419696084587517,32,Mature_CD8SP,54,32
Glycosphingolipid biosynthesis-ganglio series,-1.3779440454240208,32,Mature_CD8SP,68,32
Fatty acid biosynthesis (even-chain),-2.1667234822152523,31,Mature_CD8SP,40,31
Omega-3 fatty acid metabolism,-0.5765339538325279,31,Mature_CD8SP,186,63
"Glycine, serine and threonine metabolism",-1.1613998916402064,31,Mature_CD8SP,96,66
Omega-6 fatty acid metabolism,-1.636381782429444,31,Mature_CD8SP,122,34
Glycolysis / Gluconeogenesis,-1.288153640223168,30,Mature_CD8SP,104,42
Vitamin E metabolism,-1.4004862332591392,30,Mature_CD8SP,433,34
Fatty acid biosynthesis (odd-chain),-2.486582500987308,29,Mature_CD8SP,29,29
"Phenylalanine, tyrosine and tryptophan biosynthesis",-0.43271396324324407,29,Early,259,94
