reaction_id,pathway,cohens_d,p_value,adjusted_pval,significant,pathway_direction,pathway_median_d,genes,n_genes,reaction_name,ec_number,comparison
0,Acylglycerides metabolism,-1.8150438490370842,0.005134491544900623,0.018114980620989096,True,Mature_CD8SP,-1.5380721498198051,Abhd12; Abhd6; Gpihbp1; Lpl; Mgll; Sdc1,6,No name available,3.1.1.34;3.1.1.23,Late_vs_Mature_CD8SP
1,Acylglycerides metabolism,-1.3219716106071264,0.02229047213124813,0.04341049267360765,True,Mature_CD8SP,-1.5380721498198051,Lpl,1,triacylglycerol acylhydrolase,3.1.1.34,Late_vs_Mature_CD8SP
2,Acylglycerides metabolism,-1.0907377629414245,0.04829037118051904,0.08070548382200396,False,Mature_CD8SP,-1.5380721498198051,Aadac; Cel; Dagla; Daglb; Lipc; Lipe; Lipf; Lipg; Pnlip; Pnliprp1; Pnliprp2; Pnpla2; Pnpla3,13,"1,2-diacyl-sn-glycerol acylhydrolase",3.1.1.3,Late_vs_Mature_CD8SP
3,Acylglycerides metabolism,-1.713336157986167,0.006426473758902266,0.019183360078085545,True,Mature_CD8SP,-1.5380721498198051,Abhd12; Abhd6; Mgll,3,1-acylglycerol acylhydrolase,3.1.1.23,Late_vs_Mature_CD8SP
4,Transport reactions,-1.9249704068804392,0.003914162272483896,0.0169854338614013,True,Mature_CD8SP,-1.5197550583314645,Abhd12; Abhd6; Gpihbp1; Lpl; Mgll; Sdc1,6,No name available,3.1.1.34;3.1.1.23,Late_vs_Mature_CD8SP
5,Transport reactions,-1.3221287178192802,0.022277551783659554,0.04339936631999819,True,Mature_CD8SP,-1.5197550583314645,Lpl,1,triacylglycerol acylhydrolase,3.1.1.34,Late_vs_Mature_CD8SP
6,Transport reactions,-1.0759499691450956,0.05113345681759312,0.08427841426875189,False,Mature_CD8SP,-1.5197550583314645,Lpl,1,"1,2-diacyl-sn-glycerol acylhydrolase",3.1.1.34,Late_vs_Mature_CD8SP
7,Pool reactions,-1.6906119412709455,0.007202530373040194,0.02004726476104237,True,Mature_CD8SP,-1.3043780164679697,Abhd12; Abhd6; Mgll,3,1-acylglycerol acylhydrolase,3.1.1.23,Late_vs_Mature_CD8SP
8,Pool reactions,-1.3043780164679697,0.02192550449877148,0.04280490687702593,True,Mature_CD8SP,-1.3043780164679697,Lpl,1,No name available,3.1.1.34,Late_vs_Mature_CD8SP
9,Pool reactions,-1.1615069335802843,0.03978966739869913,0.06876538639844043,False,Mature_CD8SP,-1.3043780164679697,Lpl,1,No name available,3.1.1.34,Late_vs_Mature_CD8SP
