pathway,median_cohens_d,n_significant_reactions,direction,total_genes,n_total_reactions
Transport reactions,-1.5197550583314645,250,Mature_CD8SP,430,389
Nucleotide metabolism,-1.469783359622907,168,Mature_CD8SP,508,180
Fatty acid oxidation,-1.409631923740098,112,Mature_CD8SP,357,159
Purine metabolism,-1.6038426413422102,91,Mature_CD8SP,508,118
Pyrimidine metabolism,-1.5925445953303465,77,Mature_CD8SP,299,92
Keratan sulfate degradation,-1.455583249255126,75,Mature_CD8SP,211,75
Drug metabolism,-1.5761197277885755,75,Mature_CD8SP,411,112
Glycerolipid metabolism,-1.6370853105126162,71,Mature_CD8SP,323,77
Carnitine shuttle (endoplasmic reticular),-1.4930160069803207,70,Late,124,98
Sphingolipid metabolism,-1.5746132606565988,70,Late,199,81
Fatty acid activation (cytosolic),-1.6719793446700146,66,Mature_CD8SP,514,67
Inositol phosphate metabolism,-1.5431572625558483,64,Mature_CD8SP,288,67
Acyl-CoA hydrolysis,-1.6719793446700146,63,Mature_CD8SP,208,65
Formation and hydrolysis of cholesterol esters,-0.5799109619134495,63,Mature_CD8SP,346,173
Carnitine shuttle (mitochondrial),-1.931145008227895,63,Late,156,79
Glycerophospholipid metabolism,-1.4991821211136775,60,Mature_CD8SP,296,88
Carnitine shuttle (cytosolic),-1.6375294530208016,59,Late,291,97
Folate metabolism,-1.503621435318432,59,Mature_CD8SP,85,71
Beta oxidation of even-chain fatty acids (mitochondrial),-1.9548269563089171,52,Mature_CD8SP,394,59
Chondroitin / heparan sulfate biosynthesis,-1.4626001779343771,40,Mature_CD8SP,118,40
Beta oxidation of odd-chain fatty acids (mitochondrial),-2.1858181151083387,36,Mature_CD8SP,108,36
Blood group biosynthesis,-3.126058934416259,36,Mature_CD8SP,40,36
Bile acid biosynthesis,-0.998224620450368,36,Mature_CD8SP,430,201
"Valine, leucine, and isoleucine metabolism",-1.5323148104056146,35,Mature_CD8SP,94,45
Chondroitin sulfate degradation,-1.4122854718800173,34,Mature_CD8SP,114,34
Retinol metabolism,-1.6769876630191052,33,Late,263,45
Glycosphingolipid biosynthesis-ganglio series,-1.6151106385990126,32,Mature_CD8SP,68,32
Glycosphingolipid biosynthesis-lacto and neolacto series,-2.5635031579388166,32,Mature_CD8SP,54,32
Cholesterol metabolism,-1.3718151053100363,32,Mature_CD8SP,61,49
Fatty acid biosynthesis (even-chain),-1.349674055372769,31,Mature_CD8SP,40,31
Omega-6 fatty acid metabolism,-1.7576914143188485,31,Mature_CD8SP,122,34
Cysteine and methionine metabolism,-1.591681047302624,30,Mature_CD8SP,64,39
"Glycine, serine and threonine metabolism",-1.2133435741559702,30,Mature_CD8SP,96,66
Vitamin E metabolism,-1.6769876630191052,30,Mature_CD8SP,433,34
Fatty acid biosynthesis,-1.3537244403906328,29,Mature_CD8SP,79,49
Fatty acid biosynthesis (odd-chain),-2.592853184166271,29,Mature_CD8SP,29,29
Omega-3 fatty acid metabolism,-0.9557711199158322,29,Mature_CD8SP,186,63
Biopterin metabolism,-1.5030751747210112,29,Mature_CD8SP,50,34
Nicotinate and nicotinamide metabolism,-1.7052311277712298,28,Late,81,33
Glycolysis / Gluconeogenesis,-1.3618508716001645,25,Mature_CD8SP,104,42
Miscellaneous,-1.1222595146901813,24,Mature_CD8SP,132,51
Galactose metabolism,-1.5439503876959988,24,Mature_CD8SP,57,27
Fatty acid biosynthesis (unsaturated),-1.929134956037465,24,Mature_CD8SP,120,32
Pentose phosphate pathway,-1.3508348356457733,24,Mature_CD8SP,59,38
Heparan sulfate degradation,-1.4634730564329175,23,Mature_CD8SP,30,25
Arginine and proline metabolism,-0.7856286413771849,22,Late,127,71
Keratan sulfate biosynthesis,-1.577217616319209,21,Mature_CD8SP,62,21
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),-2.062201112147114,21,Mature_CD8SP,68,21
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,-1.22915430963507,20,Mature_CD8SP,85,41
"Phenylalanine, tyrosine and tryptophan biosynthesis",-0.38764093382657316,20,Mature_CD8SP,259,94
Aminoacyl-tRNA biosynthesis,-1.6332175637010555,20,Mature_CD8SP,21,20
Amino sugar and nucleotide sugar metabolism,-1.5909405592796073,20,Mature_CD8SP,35,26
Lysine metabolism,-1.364612224937259,20,Mature_CD8SP,176,31
Fatty acid elongation (even-chain),-1.9600635452582558,19,Mature_CD8SP,75,20
Acylglycerides metabolism,-1.5380721498198051,19,Mature_CD8SP,148,21
Glycosphingolipid metabolism,-1.6175141653583616,18,Mature_CD8SP,175,19
Pyruvate metabolism,-1.5017320293823269,18,Mature_CD8SP,78,31
Propanoate metabolism,-1.735017130608155,18,Mature_CD8SP,81,18
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),-1.2744810551889088,18,Mature_CD8SP,56,18
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),-1.931145008227895,17,Mature_CD8SP,55,17
"Alanine, aspartate and glutamate metabolism",-1.0560092386944215,16,Mature_CD8SP,53,44
Vitamin D metabolism,-1.6769876630191052,16,Mature_CD8SP,50,22
Starch and sucrose metabolism,-0.7730426554740795,16,Mature_CD8SP,73,38
Prostaglandin biosynthesis,-0.16183701817034007,15,Mature_CD8SP,149,45
Beta oxidation of even-chain fatty acids (peroxisomal),-1.0059116694883499,15,Mature_CD8SP,153,47
Glutathione metabolism,-1.6114457575777992,14,Mature_CD8SP,70,18
Fructose and mannose metabolism,-1.4477204152203476,13,Mature_CD8SP,37,21
Fatty acid elongation (odd-chain),-1.9311553570365505,12,Mature_CD8SP,44,12
Isolated,-1.490105279953034,11,Late,43,17
Pantothenate and CoA metabolism,-1.4906482150240161,11,Mature_CD8SP,29,20
Tyrosine metabolism,-0.6335414951458666,11,Mature_CD8SP,86,38
C5-branched dibasic acid metabolism,-1.7510423470940795,11,Mature_CD8SP,27,12
Xenobiotics metabolism,-0.1670114230000525,11,Mature_CD8SP,666,77
Glycosphingolipid biosynthesis-globo series,-1.6536229392406554,10,Mature_CD8SP,14,10
O-glycan metabolism,-1.4908330923485484,10,Mature_CD8SP,51,13
Terpenoid backbone biosynthesis,-1.9802229365138957,10,Mature_CD8SP,10,10
Vitamin B6 metabolism,-1.4438222488641022,9,Mature_CD8SP,17,12
Beta-alanine metabolism,-1.633227428951289,9,Mature_CD8SP,26,12
Biotin metabolism,-1.687139784154617,9,Mature_CD8SP,8,9
Butanoate metabolism,-2.0007805540612944,9,Mature_CD8SP,24,11
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal),-0.9844880553931268,9,Mature_CD8SP,125,38
Cholesterol biosynthesis 1 (Bloch pathway),-0.9904778512953867,8,Mature_CD8SP,35,27
Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),-1.278163976308023,8,Mature_CD8SP,26,8
Phosphatidylinositol phosphate metabolism,-1.5598878138673804,7,Mature_CD8SP,9,9
Androgen metabolism,0.47900711308136323,7,Late,101,34
Histidine metabolism,-1.2077454475186284,7,Mature_CD8SP,50,17
Ether lipid metabolism,-1.6001691781234795,6,Mature_CD8SP,59,7
Fatty acid activation (endoplasmic reticular),-0.5796368321991573,5,Mature_CD8SP,442,55
Sulfur metabolism,-1.4442719588579225,4,Mature_CD8SP,8,6
Beta oxidation of phytanic acid (peroxisomal),-0.9103803730790606,4,Mature_CD8SP,47,19
Riboflavin metabolism,-1.601347396838306,4,Mature_CD8SP,12,6
