reaction_id,pathway,cohens_d,p_value,adjusted_pval,significant,pathway_direction,pathway_median_d,genes,n_genes,reaction_name,ec_number,comparison
0,Acylglycerides metabolism,0.8159340761406788,0.0020988540191606226,0.010017288057217324,True,Three_Way_ANOVA,0.6416730971370079,Abhd12; Abhd6; Gpihbp1; Lpl; Mgll; Sdc1,6,No name available,3.1.1.34;3.1.1.23,Three_Way_ANOVA
1,Acylglycerides metabolism,0.44606715278009246,0.02306411663585264,0.04061716381300055,True,Three_Way_ANOVA,0.6416730971370079,Lpl,1,triacylglycerol acylhydrolase,3.1.1.34,Three_Way_ANOVA
2,Acylglycerides metabolism,0.3383209755171891,0.051524553318712286,0.08117354298735818,False,Three_Way_ANOVA,0.6416730971370079,Aadac; Cel; Dagla; Daglb; Lipc; Lipe; Lipf; Lipg; Pnlip; Pnliprp1; Pnliprp2; Pnpla2; Pnpla3,13,"1,2-diacyl-sn-glycerol acylhydrolase",3.1.1.3,Three_Way_ANOVA
3,Acylglycerides metabolism,0.5801823958514225,0.009119445705870225,0.019259553076997737,True,Three_Way_ANOVA,0.6416730971370079,Abhd12; Abhd6; Mgll,3,1-acylglycerol acylhydrolase,3.1.1.23,Three_Way_ANOVA
4,Transport reactions,0.8753421625426883,0.0014903680139918966,0.008155440459326336,True,Three_Way_ANOVA,0.5839022560835139,Abhd12; Abhd6; Gpihbp1; Lpl; Mgll; Sdc1,6,No name available,3.1.1.34;3.1.1.23,Three_Way_ANOVA
5,Transport reactions,0.4461446146528066,0.02305124778486244,0.04061716381300055,True,Three_Way_ANOVA,0.5839022560835139,Lpl,1,triacylglycerol acylhydrolase,3.1.1.34,Three_Way_ANOVA
6,Transport reactions,0.3336639864971661,0.0534153749418581,0.08382790160234489,False,Three_Way_ANOVA,0.5839022560835139,Lpl,1,"1,2-diacyl-sn-glycerol acylhydrolase",3.1.1.34,Three_Way_ANOVA
7,Pool reactions,0.5686629576508585,0.009847634514318516,0.02027145324902368,True,Three_Way_ANOVA,0.4368126591229113,Abhd12; Abhd6; Mgll,3,1-acylglycerol acylhydrolase,3.1.1.23,Three_Way_ANOVA
8,Pool reactions,0.4368126591229113,0.0246592642434307,0.042867605746661215,True,Three_Way_ANOVA,0.4368126591229113,Lpl,1,No name available,3.1.1.34,Three_Way_ANOVA
9,Pool reactions,0.4315618911860559,0.02561733562754187,0.04433860228500293,True,Three_Way_ANOVA,0.4368126591229113,Lpl,1,No name available,3.1.1.34,Three_Way_ANOVA
