pathway,pathway_direction,pathway_median_d,reaction_id,reaction_name,cohens_d,p_value,significant,genes,n_genes,ec_number
Protein modification,CD5 hi,2.22615138156762,MAR07622_pos,Protein arginine iminohydrolase,-0.4636286022571852,0.5197673762262658,False,Padi1; Padi2; Padi3; Padi4; Padi6,5,3.5.3.15
Protein modification,CD5 hi,2.22615138156762,MAR07624_pos,protein-omega-N-(ADP-D-ribosyl)-L-arginine ADP-ribosylhydrolase,2.22615138156762,0.013156634822295656,True,Adprh,1,3.2.2.19
Protein modification,CD5 hi,2.22615138156762,MAR07626_pos,Nomega-(ADP-D-ribosyl)-L-arginine ADP-ribosylhydrolase,2.226175109219932,0.013156634822295656,True,Adprh,1,3.2.2.19
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,CD5 hi,0.7924541368087886,MAR07185_pos,No name available,1.7251652690933112,0.02544117621722943,True,Herc3; Piga; Pigc; Pigh; Pigp; Pigq; Pigyl; Pyurf,8,2.4.1.198
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,CD5 hi,0.7924541368087886,MAR07186_pos,No name available,1.7251652690933112,0.02544117621722943,True,Pigl,1,3.5.1.89
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,CD5 hi,0.7924541368087886,MAR07187_pos,No name available,1.7251652690933112,0.02544117621722943,True,Pigw,1,2.3.-.-
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,CD5 hi,0.7924541368087886,MAR08379_pos,No name available,0.5214074094483592,0.45796136522773573,False,Herc3; Piga; Pigc; Pigh; Pigp; Pigq; Pigyl; Pyurf,8,2.4.1.198
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,CD5 hi,0.7924541368087886,MAR08380_pos,No name available,0.5214074094483592,0.45796136522773573,False,Pigl,1,3.5.1.89
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,CD5 hi,0.7924541368087886,MAR08381_pos,No name available,0.5214074094483592,0.45796136522773573,False,Pigw,1,2.3.-.-
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,CD5 hi,0.7924541368087886,MAR08383_pos,No name available,0.5214074094483592,0.45796136522773573,False,Pigm; Pigx,2,2.4.1.-
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,CD5 hi,0.7924541368087886,MAR08384_pos,No name available,0.5214074094483592,0.45796136522773573,False,Pigv,1,2.4.1.-
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,CD5 hi,0.7924541368087886,MAR08385_pos,No name available,0.5214074094483592,0.45796136522773573,False,Pigb,1,2.4.1.-
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,CD5 hi,0.7924541368087886,MAR08387_pos,No name available,0.7924541368087886,0.2635670780433956,False,Pigv,1,2.4.1.-
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,CD5 hi,0.7924541368087886,MAR08388_pos,No name available,0.7924541368087886,0.2635670780433956,False,Pigb,1,2.4.1.-
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,CD5 hi,0.7924541368087886,MAR08389_pos,No name available,1.2860355210665737,0.04554114038133258,True,Pigz,1,2.4.1.-
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,CD5 hi,0.7924541368087886,MAR08390_pos,No name available,1.2860355210665737,0.04554114038133258,True,Pigz,1,2.4.1.-
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,CD5 hi,0.7924541368087886,MAR08391_pos,No name available,0.7924541368087886,0.2635670780433956,False,Pign,1,2.7.-.-
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,CD5 hi,0.7924541368087886,MAR08392_pos,No name available,0.7924541368087886,0.2635670780433956,False,Pign,1,2.7.-.-
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,CD5 hi,0.7924541368087886,MAR08394_pos,No name available,0.7924541368087886,0.2635670780433956,False,Pign,1,2.7.-.-
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,CD5 hi,0.7924541368087886,MAR08397_pos,No name available,0.7924541368087886,0.2635670780433956,False,Pign,1,2.7.-.-
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,CD5 hi,0.7924541368087886,MAR08399_pos,No name available,0.19304738321677684,0.8608725380680741,False,Pign,1,2.7.-.-
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,CD5 hi,0.7924541368087886,MAR08403_pos,No name available,0.7924541368087886,0.2635670780433956,False,Pgap1,1,3.1.-.-
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,CD5 hi,0.7924541368087886,MAR08405_pos,No name available,0.19304738321677684,0.8608725380680741,False,Pgap1,1,3.1.-.-
C5-branched dibasic acid metabolism,CD5 hi,0.7388938395032315,MAR08662_neg,Itaconate:CoA ligase (GDP-forming),0.7388938395032315,0.15296717596056003,False,Sucla2; Suclg1; Suclg2,3,6.2.1.5
C5-branched dibasic acid metabolism,CD5 hi,0.7388938395032315,MAR08662_pos,Itaconate:CoA ligase (GDP-forming),0.7388938395032315,0.15296717596056003,False,Sucla2; Suclg1; Suclg2,3,6.2.1.5
C5-branched dibasic acid metabolism,CD5 hi,0.7388938395032315,MAR08663_neg,Itaconate:CoA ligase (ADP-forming),0.7388938395032315,0.15296717596056003,False,Sucla2; Suclg1; Suclg2,3,6.2.1.5
C5-branched dibasic acid metabolism,CD5 hi,0.7388938395032315,MAR08663_pos,Itaconate:CoA ligase (ADP-forming),0.7388938395032315,0.15296717596056003,False,Sucla2; Suclg1; Suclg2,3,6.2.1.5
C5-branched dibasic acid metabolism,CD5 hi,0.7388938395032315,MAR08664_pos,(3S)-citramalyl-CoA hydro-lyase (itaconyl-CoA-forming),-1.9877156903959385,0.013156634822295656,True,Auh,1,4.2.1.56
C5-branched dibasic acid metabolism,CD5 hi,0.7388938395032315,MAR08665_pos,No name available,-2.200910564452463,0.005465654529962118,True,,0,4.2.1.56
C5-branched dibasic acid metabolism,CD5 hi,0.7388938395032315,MAR08666_pos,(3S)-citramalyl-CoA pyruvate-lyase (acetyl-CoA-forming),-1.9877156903959385,0.013156634822295656,True,Clybl,1,4.1.3.25
C5-branched dibasic acid metabolism,CD5 hi,0.7388938395032315,MAR08667_neg,No name available,0.7388938395032315,0.15296717596056003,False,Sucla2; Suclg1; Suclg2,3,6.2.1.5
C5-branched dibasic acid metabolism,CD5 hi,0.7388938395032315,MAR08667_pos,No name available,0.7388938395032315,0.15296717596056003,False,Sucla2; Suclg1; Suclg2,3,6.2.1.5
C5-branched dibasic acid metabolism,CD5 hi,0.7388938395032315,MAR08668_neg,No name available,0.7388938395032315,0.15296717596056003,False,Sucla2; Suclg1; Suclg2,3,6.2.1.5
C5-branched dibasic acid metabolism,CD5 hi,0.7388938395032315,MAR08668_pos,No name available,0.7388938395032315,0.15296717596056003,False,Sucla2; Suclg1; Suclg2,3,6.2.1.5
C5-branched dibasic acid metabolism,CD5 hi,0.7388938395032315,MAR13087_pos,No name available,-0.582675390444283,0.3481295153357081,False,Acod1,1,4.1.1.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR02120_pos,2-Deoxyguanosine 5-Triphosphate Pyrophosphohydrolase,0.05393670407755414,0.9177033047207391,False,Itpa,1,3.6.1.19
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR02124_neg,DTDP Diphosphohydrolase,0.857484549063422,0.15296717596056003,False,Entpd1; Entpd3; Entpd8,3,3.6.1.5
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR02124_pos,DTDP Diphosphohydrolase,0.8628738433632289,0.15296717596056003,False,Entpd1; Entpd3; Entpd8,3,3.6.1.5
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR02125_neg,DTTP Nucleotidohydrolase,0.8605397564484226,0.15296717596056003,False,Entpd1; Entpd3; Entpd8,3,3.6.1.39
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR02125_pos,DTTP Nucleotidohydrolase,0.8596929297581983,0.15296717596056003,False,Entpd1; Entpd3; Entpd8,3,3.6.1.39
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR03931_pos,NADPH:oxidized-thioredoxin oxidoreductase,-0.9735568675697772,0.22140435206212575,False,Txnrd1; Txnrd3,2,1.8.1.9
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR03969_pos,No name available,-0.37224457310252396,0.6615256091011786,False,Uck1; Uck2,2,2.7.1.48
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR03970_pos,uridine 5'-monophosphate phosphohydrolase,-0.7298770402569987,0.3481295153357081,False,Nt5c; Nt5c1a; Nt5c1b; Nt5c2; Nt5c3; Nt5c3b; Nt5e; Nt5m,8,3.1.3.5
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04006_neg,ATP:UDP phosphotransferase,0.24575316067611472,0.9697593644218446,False,Nme1; Nme2; Nme3; Nme4; Nme6; Nme7,6,2.7.4.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04006_pos,ATP:UDP phosphotransferase,0.24575316067611472,0.9697593644218446,False,Nme1; Nme2; Nme3; Nme4; Nme6; Nme7,6,2.7.4.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04008_neg,ATP:UMP phosphotransferase,0.24575316067611472,0.9697593644218446,False,Cmpk1,1,2.7.4.14;2.7.4.4
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04008_pos,ATP:UMP phosphotransferase,0.24575316067611472,0.9697593644218446,False,Cmpk1,1,2.7.4.14;2.7.4.4
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04028_neg,ATP:CDP phosphotransferase,0.24575316067611472,0.9697593644218446,False,Nme1; Nme2; Nme3; Nme4; Nme6; Nme7,6,2.7.4.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04028_pos,ATP:CDP phosphotransferase,0.24575316067611472,0.9697593644218446,False,Nme1; Nme2; Nme3; Nme4; Nme6; Nme7,6,2.7.4.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04030_neg,ATP:CDP phosphotransferase,1.4850948324149966,0.03539392365359216,True,Nme1; Nme2; Nme3; Nme4; Nme6; Nme7,6,2.7.4.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04030_pos,ATP:CDP phosphotransferase,1.4850948324149966,0.03539392365359216,True,Nme1; Nme2; Nme3; Nme4; Nme6; Nme7,6,2.7.4.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04032_pos,UTP:ammonia ligase (ADP-forming),-1.3386265806315516,0.08668985278367534,False,Ctps1; Ctps2,2,6.3.4.2
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04034_pos,"HCO3-:L-glutamine amido-ligase (ADP-forming, carbamate-phosphorylating)",-1.8912731751510696,0.013156634822295656,True,Cad,1,6.3.5.5
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04036_pos,orotidine-5'-phosphate carboxy-lyase (UMP-forming),-0.8224819971308513,0.22140435206212575,False,Umps,1,4.1.1.23
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04050_neg,carbamoyl-phosphate:L-aspartate carbamoyltransferase,-1.6435860247176433,0.02544117621722943,True,Cad,1,2.1.3.2
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04050_pos,carbamoyl-phosphate:L-aspartate carbamoyltransferase,0.22515918827501324,0.5197673762262658,False,Cad,1,2.1.3.2
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04056_pos,thymidylate 5'-phosphohydrolase,1.1157611667218172,0.12740389581935602,False,Acp3; Nt5c; Nt5c1a; Nt5c1b; Nt5c2; Nt5c3; Nt5c3b; Nt5e; Nt5m; Rbak,10,3.1.3.5;3.1.3.35
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04059_pos,UDP phosphohydrolase,-1.0515452836457118,0.1016320232379835,False,Cant1; Entpd1; Entpd2; Entpd3; Entpd4; Entpd5; Entpd6; Entpd8,8,3.6.1.5;3.6.1.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04060_pos,UDP phosphohydrolase,-0.22157174281708783,0.9976381737739769,False,Cant1; Entpd1; Entpd2; Entpd3; Entpd4; Entpd5; Entpd6; Entpd8,8,3.6.1.5;3.6.1.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04127_pos,UDP-glucose glucophosphohydrolase,-1.2956539422864835,0.08668985278367534,False,Enpp1; Enpp3; Nudt14,3,3.6.1.8;3.6.1.9;3.6.1.45
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04177_pos,cytidine-5'-monophosphate phosphohydrolase,-0.7807098228627946,0.3481295153357081,False,Acp3; Nt5c; Nt5c1a; Nt5c1b; Nt5c2; Nt5c3; Nt5c3b; Nt5e; Nt5m; Rbak,10,3.1.3.5
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04179_pos,cytidine-5'-monophosphate phosphohydrolase,0.2705500021670998,0.7245685280064822,False,Acp3; Nt5c; Nt5c1a; Nt5c1b; Nt5c2; Nt5c3; Nt5c3b; Nt5e; Nt5m; Rbak,10,3.1.3.5
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04182_pos,GTP:cytidine 5'-phosphotransferase,-0.8272762917157465,0.22140435206212575,False,Fam20b; Fggy; Fn3k; Fn3krp; Nol9,5,2.7.1.-
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04183_pos,CDP phosphohydrolase,0.27023569515936935,0.7245685280064822,False,Entpd1; Entpd3; Entpd8,3,3.6.1.5
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04192_pos,CTP phosphohydrolase,0.27038334020660987,0.7245685280064822,False,Entpd1; Entpd3; Entpd8,3,3.6.1.5
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04194_pos,UTP:L-glutamine amido-ligase (ADP-forming),-1.5593682964553242,0.019091465014925913,True,Ctps1; Ctps2,2,6.3.4.2
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04210_pos,UTP:pyruvate 2-O-phosphotransferase,0.43224446526798016,0.15296717596056003,False,Pklr; Pkm,2,2.7.1.40
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04211_pos,uridine triphosphate pyrophosphohydrolase,-1.0490061896218454,0.15296717596056003,False,Itpa,1,3.6.1.19
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04343_pos,UMP:diphosphate phospho-alpha-D-ribosyltransferase,-0.10510614509788317,0.8608725380680741,False,Uprt,1,2.4.2.9
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04345_neg,"5,6-Dihydrouracil:NADP+ oxidoreductase",-0.06857877309737762,0.7245685280064822,False,Dpyd,1,1.3.1.2
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04345_pos,"5,6-Dihydrouracil:NADP+ oxidoreductase",0.029649687189676845,0.9976381737739769,False,Dpyd,1,1.3.1.2
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04346_pos,"5,6-Dihydrouracil amidohydrolase",-1.9465940709361436,0.008888808630577514,True,Dpys; Dpysl2,2,3.5.2.2
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04470_pos,"5,6-dihydrothymine:NAD+ oxidoreductase",-0.9109384328853838,0.15296717596056003,False,Dpyd,1,1.3.1.2
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04471_pos,"5,6-dihydrothymine:NAD+ oxidoreductase",-1.2256694515622097,0.06965583282873238,False,Dpyd,1,1.3.1.2
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04472_pos,"5,6-Dihydrothymine:NADP+ oxidoreductase",-0.8872854373911088,0.18488732561303578,False,Dpyd,1,1.3.1.2
